ObjectId,ogcfid,typ_opatreni,rok_realizace,delka,datum_exportu,GlobalID,SHAPE_Length
409,172,Stezka pro chodce a cyklisty (nedělená) - C9,2002,214.2,2022/12/16 00:00:00+00,{B3557988-5D59-43CB-9B73-CCEF13E2C9AE},0.0019555553513312
410,304,"Vyhrazený pruh pro taxi, cyklo, bus",2010,126.16,2022/12/16 00:00:00+00,{AA51B6B9-7198-4039-8098-F6BCC58D7A8A},0.00168480098448271
411,171,Stezka pro chodce a cyklisty (nedělená) - C9,2002,226.58,2022/12/16 00:00:00+00,{3FD5FC47-3FE6-434A-902A-2CB660B57AF3},0.00205632222600822
412,259,Piktogramový koridor pro cyklisty - V20,2017,59.639999,2022/12/16 00:00:00+00,{4478E432-8387-4B69-9733-B41FF63F8E7A},0.000796514788216756
413,268,Vyhrazený jízdní pruh pro cyklisty - V14,2017,217.47,2022/12/16 00:00:00+00,{0BE3E9A8-48D2-4748-8CD6-52893BE91398},0.00291044315665166
414,195,Stezka pro chodce a cyklisty (nedělená) - C9,2013,296.39001,2022/12/16 00:00:00+00,{8440B8D6-8616-4C58-B76D-FD1F75FA17EC},0.00363730655638114
415,199,Stezka pro chodce a cyklisty (nedělená) - C9,2003,412.5,2022/12/16 00:00:00+00,{BBC2B188-BBF0-4A5B-8077-5B37F2A79231},0.0047151383372272
416,383,Stezka pro chodce a cyklisty (nedělená) - C9,1995,127.78,2022/12/16 00:00:00+00,{403D3556-8541-4ED8-8DF0-9F30E5470943},0.00139791629683647
417,382,Vjezd cyklistům povolen,2017,106.88,2022/12/16 00:00:00+00,{C27551F9-716B-4215-9551-D43F21FCBCDA},0.00109867738645823
418,202,Stezka pro chodce a cyklisty (nedělená) - C9,2000,506.95001,2022/12/16 00:00:00+00,{ED384276-4460-43E1-B5FD-15E9B8AC714A},0.00489070173085992
419,120,"Vyhrazený pruh pro taxi, cyklo, bus",2014,221.45,2022/12/16 00:00:00+00,{7061D876-C1E0-4976-AD22-02E20E31E3DB},0.00200073811368858
